id_commande;id_client;date_commande;id_produit;quantite;prix_unitaire_applique;statut;mode_livraison;motif_annulation
CMD000035;C0183;2025-01-04;40;3;3.50;livrée;domicile;
CMD000036;C0076;2025-01-04;36;2;5,20;livrée;domicile;
CMD000037;C0282;2025-01-04;36;4;5,20;annulée;domicile;annulation client
CMD000037;C0282;2025-01-04;7;1;4,50;Annulée;domicile;annulation client
CMD000037;C0282;2025-01-04;32;1;2.20;annulee;domicile;annulation client
CMD000037;C0282;04/01/2025;21;3;9.90;annulee;domicile;annulation client
CMD000038;C0297;2025-01-04;21;2;9.90;livrée;domicile;
CMD000038;C0297;04/01/2025;10;1.5;2,90;LIVREE;domicile;
CMD000038;C0297;2025-01-04;34;3;4,80;livrée;domicile;
CMD000039;C0121;2025-01-04;3;1;3.60;annulee;point_relais;annulation client
CMD000040;C0121;2025-01-04;29;0.2;28,00;LIVREE;domicile;
CMD000040;C0121;2025-01-04;18;2;4.20;Livrée;domicile;
CMD000040;C0121;2025-01-04;33;1;4,20;Livrée;domicile;
CMD000040;C0121;2025-01-04;3;1.5;3,60;Livree;domicile;
CMD000040;C0121;2025-01-04;8;2;2.60;Livrée;domicile;
CMD000041;C0033;2025-01-04;15;2;5,80;Livree;retrait_ferme;
CMD000041;C0033;2025-01-04;9;1.5;9.00;LIVREE;retrait_ferme;
CMD000042;C0247;2025-01-05;12;3;3.50;LIVREE;point_relais;
CMD000043;C0133;05-01-25;27;4;3.40;Livrée;domicile;
CMD000043;C0133;2025-01-05;19;4;7,50;Livrée;domicile;
CMD000043;C0133;2025-01-05;26;2;8.90;Livree;domicile;
CMD000043;C0133;2025-01-05;10;0.5;2.90;LIVREE;domicile;
CMD000044;C0094;2025-01-05;31;4;1,20;livrée;point_relais;
CMD000044;C0094;2025-01-05;15;1;5.80;Livrée;point_relais;
CMD000045;C0190;05/01/2025;15;2;5.80;LIVREE;point_relais;
CMD000046;C0121;2025-01-05;31;1;1.20;Livree;point_relais;
CMD000046;C0121;2025-01-05;9;1;9.00;LIVREE;point_relais;
CMD000046;C0121;2025-01-05;18;4;4,20;livrée;point_relais;
CMD000046;C0121;2025-01-05;39;1;4.90;Livrée;point_relais;
CMD000047;C0132;2025-01-05;22;1;4.80;Livree;retrait_ferme;
CMD000048;C0255;2025-01-05;12;1.5;3,50;LIVREE;retrait_ferme;
CMD000048;C0255;2025-01-05;24;4;5.60;LIVREE;retrait_ferme;
CMD000048;C0255;2025-01-05;39;1;4.90;Livrée;retrait_ferme;
CMD000049;C0244;2025-01-05;38;1;5.60;Livree;domicile;
CMD000049;C0244;2025-01-05;19;1;7.50;LIVREE;domicile;
CMD000050;C0300;2025-01-05;20;4;8.20;livrée;point_relais;
CMD000050;C0300;2025-01-05;20;4;8.20;livrée;point_relais;
CMD000050;C0300;05-01-25;39;2;4.90;Livrée;point_relais;
CMD000050;C0300;2025-01-05;21;2;9,90;livrée;point_relais;
CMD000051;C0103;2025-01-05;34;2;4.80;livrée;domicile;
CMD000051;C0103;2025-01-05;33;1;4.20;LIVREE;domicile;
CMD000051;C0103;2025-01-05;13;0.5;5,40;livrée;domicile;
CMD000051;C0103;2025-01-05;21;2;9,90;Livrée;domicile;
CMD000051;C0103;2025-01-05;6;1;1,40;Livree;domicile;
CMD000052;C0162;2025-01-05;29;0,5;28.00;LIVREE;point_relais;
CMD000052;C0162;2025-01-05;21;2;9,90;Livrée;point_relais;
CMD000052;C0162;2025-01-05;34;1;4.80;Livree;point_relais;
CMD000053;C0053;2025-01-05;26;3;8.90;livrée;point_relais;
CMD000053;C0053;2025-01-05;31;3;1.20;Livree;point_relais;
CMD000053;C0053;2025-01-05;2;0.5;2.80;LIVREE;point_relais;
CMD000054;C0199;2025-01-06;29;0.5;28,00;annulée;domicile;météo
CMD000054;C0199;2025-01-06;25;4;4,90;ANNULEE;domicile;météo
CMD000054;C0199;2025-01-06;12;0.5;3.50;Annulée;domicile;météo
CMD000054;C0199;2025-01-06;22;4;4.80;Annulée;domicile;météo
CMD000055;C0098;2025-01-06;8;1.5;2.60;livrée;domicile;
CMD000055;C0098;2025-01-06;24;3;5.60;LIVREE;domicile;
CMD000055;C0098;2025-01-06;19;2;7,50;LIVREE;domicile;
CMD000055;C0098;2025-01-06;37;2;3.10;livrée;domicile;
CMD000055;C0098;2025-01-06;18;1;4,20;LIVREE;domicile;
CMD000056;C0151;2025-01-06;8;2;2,60;livrée;domicile;
CMD000057;C0021;06-01-25;27;2;3.40;Livree;domicile;
CMD000057;C0021;06/01/2025;39;1;4.90;Livree;domicile;
CMD000057;C0021;2025-01-06;20;1;8.20;Livree;domicile;
CMD000058;C0061;2025-01-06;13;2;5.40;Livrée;domicile;
CMD000058;C0061;2025-01-06;32;1;2,20;Livree;Domicile;
CMD000058;C0061;2025-01-06;10;2;2,90;Livree;domicile;
CMD000058;C0061;2025-01-06;35;1;3,90;LIVREE;domicile;
CMD000059;C0202;2025-01-06;4;1;2,10;LIVREE;point_relais;
CMD000059;C0202;2025-01-06;35;2;3,90;Livree;point_relais;
CMD000060;C0017;2025-01-06;25;2;4.90;livrée;point_relais;
CMD000061;C0005;06-01-25;4;2;2.10;Livrée;domicile;
CMD000062;C0082;2025-01-06;17;2;3.00;LIVREE;domicile;
CMD000063;C0209;2025-01-06;38;2;5.60;Livree;domicile;
CMD000063;C0209;2025-01-06;22;3;4,80;livrée;domicile;
CMD000064;C0053;2025-01-06;8;0,5;2,60;livrée;point_relais;
CMD000064;C0053;2025-01-06;31;1;1.20;Livree;point_relais;
CMD000065;C0032;2025-01-06;7;3;4,50;livrée;domicile;
CMD000065;C0032;2025-01-06;1;1;4,20;Livrée;domicile;
CMD000066;C0097;2025-01-06;11;0.5;3,20;LIVREE;domicile;
CMD000066;C0956;2025-01-06;30;0.5;24.00;LIVREE;domicile;
CMD000067;C0014;2025-01-06;40;2;3.50;Livrée;point_relais;
CMD000067;C0014;2025-01-06;37;4;3.10;Livree;point_relais;
CMD000068;C0073;2025-01-07;3;1.5;3,60;Annulée;domicile;rupture de stock
CMD000068;C0073;07/01/2025;16;1.5;8.50;ANNULEE;domicile;rupture de stock
CMD000069;C0017;2025-01-07;35;2;3.90;livrée;domicile;
CMD000070;C0300;07-01-25;18;3;4,20;Livree;retrait_ferme;
CMD000071;C0016;2025-01-07;39;1;4.90;Livrée;domicile;
CMD000071;C0016;2025-01-07;20;1;8.20;Livree;domicile;
CMD000071;C0016;2025-01-07;18;1;4.20;livrée;domicile;
CMD000071;C0016;2025-01-07;24;3;5.60;Livrée;domicile;
CMD000071;C0016;07/01/2025;36;4;5.20;Livree;domicile;
CMD000072;C0160;2025-01-07;33;2;4.20;Livrée;domicile;
CMD000072;C0160;07/01/2025;36;2;5.20;livrée;domicile;
CMD000073;C0094;2025-01-07;15;0.5;5,80;Livrée;Retrait_ferme;
CMD000074;C0112;2025-01-07;18;4;4.20;Livrée;point_relais;
CMD000074;C0112;2025-01-07;15;3;5.80;livrée;point_relais;
CMD000075;C0241;2025-01-07;24;1;5.60;Livree;point_relais;
CMD000075;C0241;2025-01-07;19;4;7.50;LIVREE;point_relais;
CMD000076;C0263;2025-01-07;4;0.5;2,10;Livree;point_relais;
CMD000077;C0080;2025-01-07;11;1.5;3.20;Livrée;point_relais;
CMD000078;C0107;2025-01-07;19;4;7,50;Annulée;retrait_ferme;météo
CMD000078;C0107;2025-01-07;40;2;3,50;annulee;retrait_ferme;météo
CMD000078;C0107;2025-01-07;40;2;3,50;annulee;retrait_ferme;météo
CMD000078;C0107;2025-01-07;14;1.5;4.90;Annulée;Retrait_ferme;météo
CMD000078;C0107;2025-01-07;10;2;2,90;annulee;retrait_ferme;météo
CMD000079;C0070;2025-01-07;40;4;3,50;Livree;point_relais;
CMD000079;C0070;2025-01-07;21;2;9,90;Livree;point_relais;
CMD000080;C0216;2025-01-08;8;0,5;2.60;livrée;point_relais;
CMD000081;C0036;2025-01-08;2;1;2,80;LIVREE;retrait_ferme;
CMD000082;C0264;2025-01-08;7;1.5;4.50;Livrée;domicile;
CMD000083;C0290;2025-01-08;20;1;8.20;LIVREE;domicile;
CMD000083;C0290;2025-01-08;38;1;5,60;LIVREE;domicile;
CMD000084;C0014;2025-01-08;37;2;3.10;Livree;domicile;
CMD000084;C0014;08/01/2025;36;3;5.20;LIVREE;domicile;
CMD000084;C0014;2025-01-08;28;3;1.90;LIVREE;domicile;
CMD000084;C0014;2025-01-08;14;1;4.90;Livrée;domicile;
CMD000085;C0185;2025-01-08;27;1;3.40;Livrée;domicile;
CMD000085;C0185;08/01/2025;12;0.5;3.50;LIVREE;domicile;
CMD000085;C0185;08/01/2025;32;2;2,20;Livrée;domicile;
CMD000085;C0185;2025-01-08;37;1;3.10;LIVREE;domicile;
CMD000085;C0185;2025-01-08;9;1;9,00;LIVREE;domicile;
CMD000086;C0107;08-01-25;24;3;5.60;livrée;retrait_ferme;
CMD000086;C0107;2025-01-08;28;2;1.90;Livree;retrait_ferme;
CMD000086;C0107;2025-01-08;17;1;3.00;LIVREE;retrait_ferme;
CMD000087;C0065;2025-01-08;2;1.5;2.80;LIVREE;domicile;
CMD000087;C0065;2025-01-08;20;2;8.20;Livree;domicile;
CMD000088;C0289;08/01/2025;35;4;3,90;Livree;point_relais;
CMD000088;C0289;08/01/2025;35;4;3,90;Livree;point_relais;
CMD000088;C0289;2025-01-08;37;1;3.10;Livree;point_relais;
CMD000089;C0032;2025-01-08;22;3;4.80;LIVREE;domicile;
CMD000089;C0032;2025-01-08;24;1;5.60;LIVREE;domicile;
CMD000089;C0032;2025-01-08;26;2;8,90;livrée;domicile;
CMD000090;C0097;2025-01-08;8;0.5;2,60;Livrée;point_relais;
CMD000090;C0097;08/01/2025;6;2;1,40;Livrée;point_relais;
CMD000090;C0097;2025-01-08;23;2;12.50;LIVREE;Point_relais;
CMD000090;C0097;08/01/2025;9;1;9.00;Livree;point_relais;
CMD000091;C0199;2025-01-08;28;4;1.90;annulee;domicile;météo
CMD000091;C0199;2025-01-08;20;4;8,20;annulée;domicile;météo
CMD000092;C0032;08/01/2025;15;1.5;5.80;LIVREE;retrait_ferme;
CMD000093;C0010;2025-01-08;6;2;1.40;Livree;point_relais;
CMD000094;C0172;09/01/2025;32;1;2.20;Livrée;retrait_ferme;
CMD000094;C0172;2025-01-09;35;2;3,90;Livrée;retrait_ferme;
CMD000095;C0204;2025-01-09;24;4;5.60;LIVREE;domicile;
CMD000096;C0306;2025-01-09;25;1;4,90;livrée;domicile;
CMD000096;C0306;2025-01-09;5;0,5;1,90;LIVREE;domicile;
CMD000096;C0306;2025-01-09;26;2;8.90;LIVREE;domicile;
CMD000096;C0306;2025-01-09;40;1;3.50;Livree;domicile;
CMD000097;C0107;2025-01-09;15;1.5;5,80;Livree;domicile;
CMD000098;C0019;2025-01-09;19;1;7.50;Livrée;retrait_ferme;
CMD000099;C0242;2025-01-09;5;1.5;1,90;Livree;retrait_ferme;
CMD000099;C0242;2025-01-09;3;1,5;3,60;Livree;retrait_ferme;
CMD000099;C0242;2025-01-09;27;2;3.40;Livrée;retrait_ferme;
CMD000100;C0291;2025-01-09;40;2;3.50;Livrée;domicile;
CMD000100;C0291;2025-01-09;1;1;4.20;Livree;domicile;
CMD000100;C0291;2025-01-09;35;1;3.90;LIVREE;Domicile;
CMD000100;C0291;09/01/2025;9;0,5;9.00;LIVREE;domicile;
CMD000100;C0291;2025-01-09;4;0.5;2.10;Livrée;domicile;
CMD000101;C0210;2025-01-09;33;4;4.20;Livree;domicile;
CMD000101;C0210;2025-01-09;29;0.2;28,00;LIVREE;Domicile;
CMD000101;C0210;2025-01-09;20;4;8.20;LIVREE;domicile;
CMD000101;C0210;2025-01-09;28;2;1.90;Livrée;domicile;
CMD000102;C0151;09/01/2025;24;2;5.60;Livree;Point_relais;
CMD000103;C0142;2025-01-09;38;3;5.60;LIVREE;domicile;
CMD000103;C0142;2025-01-09;34;2;4,80;livrée;domicile;
CMD000103;C0142;09/01/2025;2;0.5;2,80;livrée;domicile;
CMD000103;C0142;2025-01-09;29;0,2;28.00;Livrée;domicile;
CMD000104;C0216;2025-01-10;27;1;3,40;Livrée;domicile;
CMD000104;C0216;2025-01-10;5;1;1.90;Livrée;Domicile;
CMD000104;C0216;2025-01-10;12;2;3.50;Livree;domicile;
CMD000104;C0216;2025-01-10;37;1;3,10;Livree;domicile;
CMD000104;C0216;2025-01-10;32;4;2,20;Livrée;domicile;
CMD000105;C0310;2025-01-10;38;1;5.60;Livree;point_relais;
CMD000106;C0031;2025-01-10;2;N/A;2,80;Livree;domicile;
CMD000107;C0097;2025-01-10;21;3;9.90;annulee;point_relais;client absent
CMD000107;C0097;10/01/2025;39;0.5;4.90;Annulée;point_relais;client absent
CMD000108;C0080;2025-01-10;1;1;4,20;LIVREE;retrait_ferme;
CMD000108;C0080;2025-01-10;5;0.5;1.90;LIVREE;retrait_ferme;
CMD000108;C0080;10-01-25;34;4;4.80;LIVREE;retrait_ferme;
CMD000109;C0185;2025-01-10;7;0.5;4.50;Livrée;domicile;
CMD000109;C0185;2025-01-10;19;4;7,50;Livree;domicile;
CMD000110;C0044;2025-01-10;9;3;9,00;LIVREE;retrait_ferme;
CMD000111;C0098;2025-01-10;14;1.5;4.90;Livree;domicile;
CMD000111;C0098;2025-01-10;7;0.5;4,50;Livrée;domicile;
CMD000111;C0098;10-01-25;40;2;3.50;Livree;domicile;
CMD000112;C0187;2025-01-11;13;1;5.40;livrée;point_relais;
CMD000112;C0187;2025-01-11;33;2;4.20;Livree;point_relais;
CMD000112;C0187;2025-01-11;28;2;1,90;Livree;point_relais;
CMD000113;C0061;2025-01-11;23;2;12.50;livrée;point_relais;
CMD000114;C0032;2025-01-11;14;1;4.90;Livree;point_relais;
CMD000114;C0032;11/01/2025;37;4;3.10;Livrée;point_relais;
CMD000114;C0032;2025-01-11;22;2;4.80;LIVREE;point_relais;
CMD000115;C0249;2025-01-11;23;1;12.50;annulée;domicile;météo
CMD000115;C0249;2025-01-11;12;1.5;3,50;annulee;domicile;météo
CMD000116;C0210;2025-01-11;24;2;5.60;Livrée;domicile;
CMD000116;C0210;2025-01-11;19;2;7.50;Livree;domicile;
CMD000117;C0099;2025-01-11;39;2;4.90;ANNULEE;domicile;annulation client
CMD000117;C0099;2025-01-11;22;1;4.80;annulee;domicile;annulation client
CMD000117;C0099;2025-01-11;16;1.5;8.50;ANNULEE;Domicile;annulation client
CMD000118;C0099;2025-01-11;10;0.5;2.90;Livrée;domicile;
CMD000118;C0099;2025-01-11;25;2;4.90;livrée;domicile;
CMD000118;C0099;2025-01-11;31;4;1,20;Livree;domicile;
CMD000119;C0099;2025-01-11;14;0.5;4.90;Livrée;domicile;
CMD000119;C0099;11/01/2025;30;0.5;24.00;Livree;domicile;
CMD000119;C0099;2025-01-11;20;1;8.20;Livree;domicile;
CMD000120;C0162;2025-01-11;21;1;9.90;Livrée;domicile;
CMD000120;C0162;2025-01-11;30;0.2;24,00;Livrée;domicile;
CMD000120;C0162;11/01/2025;36;1;5,20;Livree;domicile;
CMD000120;C0162;2025-01-11;23;1;12,50;Livree;domicile;
CMD000121;C0090;2025-01-11;36;2;5.20;Livrée;point_relais;
CMD000122;C0134;11/01/2025;36;2;5.20;livrée;domicile;
CMD000122;C0134;11/01/2025;30;0.5;24.00;Livree;domicile;
CMD000122;C0134;2025-01-11;11;1;3,20;LIVREE;domicile;
CMD000122;C0134;2025-01-11;6;N/A;1.40;Livree;Domicile;
CMD000122;C0134;2025-01-11;25;1;4.90;livrée;domicile;
CMD000123;C0208;2025-01-12;27;3;3.40;LIVREE;Domicile;
CMD000123;C0208;2025-01-12;26;2;8.90;Livree;domicile;
CMD000123;C0208;2025-01-12;29;0.5;28.00;LIVREE;domicile;
CMD000124;C0151;12/01/2025;25;2;4.90;livrée;point_relais;
CMD000124;C0151;2025-01-12;29;0.2;28,00;LIVREE;point_relais;
CMD000124;C0151;2025-01-12;34;2;4.80;Livree;Point_relais;
CMD000125;C0216;2025-01-12;40;1;3,50;Livree;Domicile;
CMD000125;C0216;2025-01-12;25;4;4.90;livrée;domicile;
CMD000126;C0294;2025-01-12;15;0.5;5.80;LIVREE;retrait_ferme;
CMD000126;C0294;12/01/2025;26;1;8.90;LIVREE;retrait_ferme;
CMD000127;C0250;2025-01-12;20;3;8.20;livrée;point_relais;
CMD000128;C0188;2025-01-12;31;4;1.20;annulee;domicile;paiement refusé
CMD000128;C0188;2025-01-12;31;4;1.20;annulee;domicile;paiement refusé
CMD000128;C0188;2025-01-12;23;4;12.50;annulée;domicile;paiement refusé
CMD000129;C0027;2025-01-12;20;1;8,20;Livrée;domicile;
CMD000129;C0027;12/01/2025;37;3;3.10;LIVREE;domicile;
CMD000129;C0027;2025-01-12;25;4;4.90;LIVREE;domicile;
CMD000130;C0138;2025-01-12;39;2;4.90;Livree;retrait_ferme;
CMD000130;C0138;2025-01-12;10;2;2.90;LIVREE;retrait_ferme;
CMD000131;C0253;2025-01-12;28;1;1.90;livrée;domicile;
CMD000131;C0253;2025-01-12;19;2;7,50;Livree;domicile;
CMD000132;C0121;2025-01-12;28;4;1.90;annulée;point_relais;annulation client
CMD000132;C0121;2025-01-12;37;4;3.10;ANNULEE;point_relais;annulation client
CMD000132;C0121;2025-01-12;27;2;3.40;annulée;point_relais;annulation client
CMD000132;C0121;2025-01-12;19;3;7.50;annulee;point_relais;annulation client
CMD000132;C0121;2025-01-12;35;4;3.90;annulee;point_relais;annulation client
CMD000133;C0213;2025-01-12;1;1;4,20;LIVREE;domicile;
CMD000133;C0213;12-01-25;25;4;4,90;LIVREE;domicile;
CMD000134;C0283;2025-01-12;24;4;5,60;Livree;domicile;
CMD000134;C0283;2025-01-12;20;4;8,20;LIVREE;domicile;
CMD000134;C0283;2025-01-12;5;1;1.90;LIVREE;domicile;
CMD000134;C0283;2025-01-12;7;1;4.50;livrée;domicile;
CMD000135;C0255;2025-01-13;28;4;1,90;LIVREE;point_relais;
CMD000135;C0255;2025-01-13;24;3;5.60;livrée;point_relais;
CMD000135;C0255;2025-01-13;26;3;8,90;Livrée;point_relais;
CMD000135;C0255;2025-01-13;38;1;5.60;Livrée;point_relais;
CMD000136;C0237;2025-01-13;37;2;3.10;Livrée;point_relais;
CMD000136;C0237;2025-01-13;28;4;1.90;LIVREE;point_relais;
CMD000136;C0237;13-01-25;13;1.5;5.40;Livrée;point_relais;
CMD000137;C0208;2025-01-13;7;1;4.50;LIVREE;domicile;
CMD000137;C0208;2025-01-13;24;2;5.60;Livrée;domicile;
CMD000138;C0185;2025-01-13;7;2;4,50;Livree;domicile;
CMD000138;C0185;2025-01-13;9;1.5;9.00;Livree;Domicile;
CMD000138;C0185;2025-01-13;8;0.5;2.60;livrée;domicile;
CMD000138;C0185;2025-01-13;39;1;4.90;Livrée;Domicile;
CMD000138;C0185;2025-01-13;26;1;8.90;livrée;domicile;
CMD000139;C0108;2025-01-13;22;2;4.80;Livrée;domicile;
CMD000139;C0108;13/01/2025;12;1;3.50;Livrée;domicile;
CMD000139;C0108;2025-01-13;20;1;8,20;livrée;domicile;
CMD000140;C0138;13/01/2025;8;2;2.60;livrée;domicile;
CMD000141;C0133;2025-01-13;39;2;4.90;Annulée;retrait_ferme;annulation client
CMD000141;C0133;2025-01-13;21;3;9,90;Annulée;retrait_ferme;annulation client
CMD000141;C0133;2025-01-13;7;3;4,50;annulee;retrait_ferme;annulation client
CMD000142;C0217;2025-01-13;4;2;2,10;LIVREE;domicile;
CMD000142;C0217;2025-01-13;19;1;7.50;Livrée;domicile;
CMD000142;C0217;2025-01-13;35;1;3.90;livrée;domicile;
CMD000143;C0053;2025-01-13;31;1;1,20;livrée;point_relais;
CMD000143;C0053;13/01/2025;40;2;3.50;Livree;point_relais;
CMD000144;C0209;2025-01-13;37;1;3,10;livrée;domicile;
CMD000144;C0209;2025-01-13;12;0,5;3.50;Livrée;domicile;
CMD000144;C0209;2025-01-13;34;2;4.80;Livrée;domicile;
CMD000145;C0271;2025-01-13;35;1;3.90;Livree;retrait_ferme;
CMD000145;C0271;2025-01-13;26;3;8.90;LIVREE;retrait_ferme;
CMD000145;C0271;2025-01-13;34;1;4.80;livrée;Retrait_ferme;
CMD000146;C0073;2025-01-14;10;3;2.90;Livrée;retrait_ferme;
CMD000146;C0073;2025-01-14;40;3;3,50;livrée;retrait_ferme;
CMD000146;C0073;2025-01-14;31;3;1.20;Livree;retrait_ferme;
CMD000146;C0073;2025-01-14;29;0.2;28.00;Livree;retrait_ferme;
CMD000146;C0073;14/01/2025;3;3;3.60;LIVREE;retrait_ferme;
CMD000147;C0236;14-01-25;29;0,5;28.00;Livrée;point_relais;
CMD000148;C0103;2025-01-14;25;4;4.90;Livrée;domicile;
CMD000149;C0211;2025-01-14;18;2;4.20;LIVREE;point_relais;
CMD000150;C0175;2025-01-14;24;2;5,60;livrée;domicile;
CMD000151;C0191;2025-01-14;40;1;3,50;Livree;point_relais;
CMD000151;C0191;2025-01-14;40;1;3,50;Livree;point_relais;
CMD000151;C0191;14/01/2025;31;2;1.20;LIVREE;point_relais;
CMD000151;C0191;14/01/2025;13;1;5.40;livrée;point_relais;
CMD000151;C0191;2025-01-14;27;4;3.40;Livrée;Point_relais;
CMD000151;C0191;2025-01-14;4;2;2,10;Livree;Point_relais;
CMD000152;C0107;2025-01-14;29;0.5;28.00;Livree;domicile;
CMD000152;C0107;2025-01-14;10;1;2.90;livrée;domicile;
CMD000153;C0111;2025-01-14;36;4;5,20;livrée;domicile;
CMD000153;C0111;2025-01-14;39;3;4,90;Livree;domicile;
CMD000153;C0111;14/01/2025;8;1;2.60;Livree;domicile;
