date;ville;temp_max;pluie_mm
2025-09-14;Montpellier;24,2;0,0
2025-09-15;Montpellier;22,2;0,0
2025-09-16;Montpellier;-999;0,0
2025-09-17;Montpellier;25,2;0,0
2025-09-18;Montpellier;22,5;0,0
2025-09-19;Montpellier;16,8;0,7
2025-09-20;Montpellier;20,5;0,0
2025-09-21;Montpellier;21,0;0,0
2025-09-22;Montpellier;;0,0
2025-09-23;Montpellier;23,8;0,0
2025-09-24;Montpellier;29,6;0,0
2025-09-25;Montpellier;21,1;17,8
2025-09-26;Montpellier;22,2;0,0
2025-09-27;Montpellier;20,6;0,0
2025-09-28;Montpellier;21,7;0,0
2025-09-29;Montpellier;23,7;0,0
2025-09-30;Montpellier;21,2;0,0
2025-10-01;Montpellier;21,3;13,0
2025-10-02;Montpellier;13,1;0,0
2025-10-03;Montpellier;22,9;0,5
2025-10-04;Montpellier;23,5;0,0
2025-10-05;Montpellier;20,9;12,4
2025-10-06;Montpellier;14,6;0,0
2025-10-07;Montpellier;23,0;0,0
2025-10-08;Montpellier;20,8;0,0
2025-10-09;Montpellier;17,8;7,4
2025-10-10;Montpellier;20,8;0,0
2025-10-11;Montpellier;22,3;0,0
2025-10-12;Montpellier;16,2;0,0
2025-10-13;Montpellier;16,7;0,0
2025-10-14;Montpellier;17,9;0,0
2025-10-15;Montpellier;19,6;0,0
2025-10-16;Montpellier;16,0;0,0
2025-10-17;Montpellier;18,0;0,0
2025-10-18;Montpellier;16,7;0,0
2025-10-19;Montpellier;12,8;0,0
2025-10-20;Montpellier;18,6;18,9
2025-10-21;Montpellier;15,0;0,0
2025-10-22;Montpellier;24,6;
2025-10-23;Montpellier;15,8;0,0
2025-10-24;Montpellier;14,1;0,0
2025-10-25;Montpellier;19,6;0,0
2025-10-26;Montpellier;14,5;0,0
2025-10-27;Montpellier;;10,4
2025-10-28;Montpellier;16,5;0,0
2025-10-29;Montpellier;18,7;24,6
2025-10-30;Montpellier;15,2;0,0
2025-10-31;Montpellier;15,1;0,0
2025-11-01;Montpellier;17,2;7,9
2025-11-02;Montpellier;19,1;0,0
2025-11-03;Montpellier;14,1;8,1
2025-11-04;Montpellier;10,5;0,0
2025-11-05;Montpellier;14,4;0,0
2025-11-06;Montpellier;14,2;5,2
2025-11-07;Montpellier;15,0;4,4
2025-11-08;Montpellier;14,8;0,0
2025-11-09;Montpellier;12,2;2,4
2025-11-10;Montpellier;14,9;0,0
2025-11-11;Montpellier;15,1;2,6
2025-11-12;Montpellier;12,3;15,4
2025-11-13;Montpellier;12,3;0,0
2025-11-14;Montpellier;13,1;0,0
2025-11-15;Montpellier;16,6;0,0
2025-11-16;Montpellier;11,6;3,8
2025-11-17;Montpellier;10,8;0,7
2025-11-18;Montpellier;11,5;0,0
2025-11-19;Montpellier;9,4;
2025-11-20;Montpellier;12,7;15,3
2025-11-21;Montpellier;12,4;0,0
2025-11-22;Montpellier;12,8;0,0
2025-11-23;Montpellier;14,8;1,7
2025-11-24;Montpellier;14,1;0,0
2025-11-25;Montpellier;12,2;0,0
2025-11-26;Montpellier;9,1;0,0
2025-11-27;Montpellier;10,7;11,6
2025-11-28;Montpellier;11,2;0,0
2025-11-29;Montpellier;15,5;0,0
2025-11-30;Montpellier;9,6;1,7
2025-12-01;Montpellier;11,6;0,0
2025-12-02;Montpellier;9,7;5,4
2025-12-03;Montpellier;11,8;0,0
2025-12-04;Montpellier;8,8;8,1
2025-12-05;Montpellier;7,7;0,0
2025-12-06;Montpellier;8,4;0,0
2025-12-07;Montpellier;10,1;0,0
2025-12-08;Montpellier;4,7;0,0
2025-12-09;Montpellier;6,8;0,0
2025-12-10;Montpellier;10,0;0,0
2025-12-11;Montpellier;10,3;0,0
2025-12-12;Montpellier;;0,0
2025-12-13;Montpellier;6,9;0,0
2025-12-14;Montpellier;3,4;9,9
2025-12-15;Montpellier;10,1;0,0
2025-12-16;Montpellier;6,1;19,0
2025-12-17;Montpellier;12,1;0,0
2025-12-18;Montpellier;8,6;0,0
2025-12-19;Montpellier;2,1;0,0
2025-12-20;Montpellier;10,1;0,0
2025-12-21;Montpellier;7,3;22,8
2025-12-22;Montpellier;11,3;20,1
2025-12-23;Montpellier;8,0;0,0
2025-12-24;Montpellier;2,8;0,0
2025-12-25;Montpellier;1,0;0,5
2025-12-26;Montpellier;16,5;0,0
2025-12-27;Montpellier;7,6;0,0
2025-12-28;Montpellier;8,3;0,0
2025-12-29;Montpellier;3,9;0,0
2025-12-30;Montpellier;5,0;0,0
2025-12-31;Montpellier;7,3;0,0
2025-01-01;Sète;11,7;0,0
2025-01-02;Sète;6,8;0,0
2025-01-03;Sète;8,0;4,2
2025-01-04;Sète;5,2;0,0
2025-01-05;Sète;10,4;0,0
2025-01-06;Sète;2,6;0,0
2025-01-07;Sète;9,2;0,0
2025-01-08;Sète;3,7;0,0
2025-01-09;Sète;4,1;0,0
2025-01-10;Sète;10,6;0,0
2025-01-11;Sète;6,8;0,0
2025-01-12;Sète;7,2;0,0
2025-01-13;Sète;6,0;0,0
2025-01-14;Sète;8,7;0,0
2025-01-15;Sète;-999;0,0
2025-01-16;Sète;11,4;0,0
2025-01-17;Sète;4,4;13,9
2025-01-18;Sète;6,4;0,0
2025-01-19;Sète;5,5;0,0
2025-01-20;Sète;2,8;0,0
2025-01-21;Sète;6,5;0,0
2025-01-22;Sète;7,7;0,0
2025-01-23;Sète;3,7;0,0
2025-01-24;Sète;7,3;0,0
2025-01-25;Sète;11,3;0,0
2025-01-26;Sète;4,0;0,0
2025-01-27;Sète;5,5;0,0
2025-01-28;Sète;10,9;0,0
2025-01-29;Sète;7,4;0,0
2025-01-30;Sète;9,3;12,2
2025-01-31;Sète;9,1;5,8
2025-02-01;Sète;11,4;
2025-02-02;Sète;7,8;0,0
2025-02-03;Sète;6,4;0,0
2025-02-04;Sète;5,6;0,0
2025-02-05;Sète;11,1;0,0
2025-02-06;Sète;8,6;0,0
2025-02-07;Sète;7,0;0,0
2025-02-08;Sète;5,2;11,6
2025-02-09;Sète;7,1;0,0
2025-02-10;Sète;13,7;0,0
2025-02-11;Sète;6,6;0,0
2025-02-12;Sète;3,2;0,0
2025-02-13;Sète;4,5;13,4
2025-02-14;Sète;5,8;0,0
2025-02-15;Sète;5,0;0,0
2025-02-16;Sète;5,4;0,0
2025-02-17;Sète;6,2;0,0
2025-02-18;Sète;10,5;0,0
2025-02-19;Sète;6,3;6,0
2025-02-20;Sète;4,3;0,0
2025-02-21;Sète;9,5;10,0
2025-02-22;Sète;9,2;0,0
2025-02-23;Sète;9,5;0,0
2025-02-24;Sète;8,8;0,7
2025-02-25;Sète;12,0;2,6
2025-02-26;Sète;11,9;0,0
2025-02-27;Sète;7,8;3,6
2025-02-28;Sète;12,3;0,0
2025-03-01;Sète;8,2;0,0
2025-03-02;Sète;3,9;4,4
2025-03-03;Sète;10,6;0,0
2025-03-04;Sète;8,9;0,0
2025-03-05;Sète;9,9;7,5
2025-03-06;Sète;12,5;0,0
2025-03-07;Sète;7,7;0,0
2025-03-08;Sète;12,8;0,0
2025-03-09;Sète;9,0;0,0
2025-03-10;Sète;6,2;0,0
2025-03-11;Sète;8,6;0,0
2025-03-12;Sète;9,4;0,0
2025-03-13;Sète;8,7;0,0
2025-03-14;Sète;11,9;0,0
2025-03-15;Sète;10,0;0,0
2025-03-16;Sète;10,8;2,6
2025-03-17;Sète;12,0;0,0
2025-03-18;Sète;10,5;0,0
2025-03-19;Sète;14,1;3,0
2025-03-20;Sète;8,5;0,0
2025-03-21;Sète;8,8;0,0
2025-03-22;Sète;13,5;0,0
2025-03-23;Sète;8,2;0,0
2025-03-24;Sète;14,8;0,0
2025-03-25;Sète;14,0;2,3
2025-03-26;Sète;12,1;0,0
2025-03-27;Sète;17,2;7,3
2025-03-28;Sète;12,5;0,0
2025-03-29;Sète;16,2;14,2
2025-03-30;Sète;16,0;4,6
2025-03-31;Sète;17,3;0,0
2025-04-01;Sète;7,4;0,0
2025-04-02;Sète;9,0;0,0
2025-04-03;Sète;12,1;0,0
2025-04-04;Sète;14,2;0,0
2025-04-05;Sète;18,8;13,8
2025-04-06;Sète;15,5;0,0
2025-04-07;Sète;21,0;0,0
2025-04-08;Sète;14,9;0,0
2025-04-09;Sète;13,8;12,7
2025-04-10;Sète;17,8;0,0
2025-04-11;Sète;17,4;0,0
2025-04-12;Sète;13,3;0,0
2025-04-13;Sète;16,6;0,0
2025-04-14;Sète;14,9;0,0
2025-04-15;Sète;19,2;0,0
2025-04-16;Sète;17,1;0,0
2025-04-17;Sète;18,0;6,3
2025-04-18;Sète;18,0;0,0
2025-04-19;Sète;20,6;0,0
2025-04-20;Sète;21,9;0,0
2025-04-21;Sète;21,2;0,0
2025-04-22;Sète;10,9;0,0
2025-04-23;Sète;;0,0
2025-04-24;Sète;19,6;10,0
2025-04-25;Sète;17,5;0,0
2025-04-26;Sète;17,2;0,0
2025-04-27;Sète;10,4;0,0
2025-04-28;Sète;17,7;0,0
2025-04-29;Sète;;0,0
2025-04-30;Sète;16,8;0,0
2025-05-01;Sète;21,4;0,0
2025-05-02;Sète;19,4;0,0
2025-05-03;Sète;23,4;0,0
2025-05-04;Sète;16,5;2,8
2025-05-05;Sète;17,1;0,0
2025-05-06;Sète;19,5;0,0
2025-05-07;Sète;16,9;0,0
2025-05-08;Sète;11,4;0,0
2025-05-09;Sète;22,6;0,0
2025-05-10;Sète;14,0;4,9
2025-05-11;Sète;24,2;0,0
2025-05-12;Sète;23,9;0,0
2025-05-13;Sète;15,3;0,0
2025-05-14;Sète;22,9;0,0
2025-05-15;Sète;24,5;0,0
2025-05-16;Sète;;0,0
2025-05-17;Sète;19,3;0,0
2025-05-18;Sète;22,7;0,0
2025-05-19;Sète;25,5;0,0
2025-05-20;Sète;-999;3,5
2025-05-21;Sète;22,8;0,0
2025-05-22;Sète;23,7;0,0
2025-05-23;Sète;25,0;0,0
2025-05-24;Sète;21,0;0,0
2025-05-25;Sète;22,5;0,0
2025-05-26;Sète;20,0;0,0
2025-05-27;Sète;21,9;0,0
2025-05-28;Sète;24,1;0,0
2025-05-29;Sète;23,8;0,0
2025-05-30;Sète;24,3;0,0
2025-05-31;Sète;21,8;0,0
2025-06-01;Sète;20,7;0,0
2025-06-02;Sète;24,0;0,0
2025-06-03;Sète;23,8;0,0
2025-06-04;Sète;31,5;0,0
2025-06-05;Sète;28,8;0,0
2025-06-06;Sète;25,6;0,0
2025-06-07;Sète;26,1;0,0
2025-06-08;Sète;28,2;0,0
2025-06-09;Sète;29,3;21,1
2025-06-10;Sète;24,6;3,0
2025-06-11;Sète;23,4;0,0
2025-06-12;Sète;25,7;0,0
2025-06-13;Sète;20,4;0,0
2025-06-14;Sète;27,0;0,0
2025-06-15;Sète;24,9;0,0
2025-06-16;Sète;24,4;0,0
2025-06-17;Sète;;0,0
2025-06-18;Sète;28,4;0,0
2025-06-19;Sète;23,9;0,0
2025-06-20;Sète;25,7;0,0
2025-06-21;Sète;27,7;0,0
2025-06-22;Sète;25,3;0,0
2025-06-23;Sète;28,8;23,9
2025-06-24;Sète;28,6;0,0
2025-06-25;Sète;23,1;0,0
2025-06-26;Sète;26,8;0,0
2025-06-27;Sète;31,3;0,0
2025-06-28;Sète;28,4;0,0
2025-06-29;Sète;28,8;0,0
2025-06-30;Sète;29,4;0,0
2025-07-01;Sète;29,8;0,0
2025-07-02;Sète;29,0;0,0
2025-07-03;Sète;28,2;0,0
2025-07-04;Sète;25,6;13,9
2025-07-05;Sète;30,5;0,0
2025-07-06;Sète;30,8;0,0
2025-07-07;Sète;28,7;0,0
2025-07-08;Sète;22,7;
2025-07-09;Sète;25,7;0,0
2025-07-10;Sète;17,4;0,0
2025-07-11;Sète;31,6;7,2
2025-07-12;Sète;25,7;0,0
2025-07-13;Sète;25,0;5,2
2025-07-14;Sète;19,7;25,3
2025-07-15;Sète;24,6;0,0
2025-07-16;Sète;31,2;0,0
2025-07-17;Sète;30,0;0,0
2025-07-18;Sète;27,4;0,3
2025-07-19;Sète;27,1;0,0
2025-07-20;Sète;29,0;0,0
2025-07-21;Sète;26,0;0,0
2025-07-22;Sète;28,4;
2025-07-23;Sète;19,9;6,3
2025-07-24;Sète;26,9;0,0
2025-07-25;Sète;27,5;0,0
2025-07-26;Sète;27,1;0,0
2025-07-27;Sète;28,7;4,0
2025-07-28;Sète;26,1;0,0
2025-07-29;Sète;28,6;0,0
2025-07-30;Sète;31,1;5,1
2025-07-31;Sète;25,3;0,0
2025-08-01;Sète;24,7;0,0
2025-08-02;Sète;27,0;3,7
2025-08-03;Sète;26,2;2,7
2025-08-04;Sète;26,1;8,3
2025-08-05;Sète;29,8;0,0
2025-08-06;Sète;27,3;0,6
2025-08-07;Sète;30,4;0,0
2025-08-08;Sète;29,7;0,0
2025-08-09;Sète;32,2;0,0
2025-08-10;Sète;28,9;0,0
2025-08-11;Sète;24,2;0,0
2025-08-12;Sète;30,9;0,0
2025-08-13;Sète;25,3;0,0
2025-08-14;Sète;26,3;0,0
2025-08-15;Sète;24,7;0,0
2025-08-16;Sète;27,0;22,3
2025-08-17;Sète;27,1;0,0
2025-08-18;Sète;29,2;0,0
2025-08-19;Sète;26,3;0,0
2025-08-20;Sète;28,3;0,0
2025-08-21;Sète;25,5;0,0
2025-08-22;Sète;24,1;0,0
2025-08-23;Sète;26,8;0,0
2025-08-24;Sète;28,0;0,0
2025-08-25;Sète;23,3;0,0
2025-08-26;Sète;26,7;0,0
2025-08-27;Sète;25,2;0,0
2025-08-28;Sète;26,9;0,0
2025-08-29;Sète;22,6;0,0
2025-08-30;Sète;25,7;0,0
2025-08-31;Sète;24,8;3,8
2025-09-01;Sète;21,5;4,9
2025-09-02;Sète;20,8;0,0
2025-09-03;Sète;25,1;0,0
2025-09-04;Sète;20,3;0,0
2025-09-05;Sète;23,1;8,4
2025-09-06;Sète;;0,0
2025-09-07;Sète;19,2;0,0
2025-09-08;Sète;26,5;0,0
2025-09-09;Sète;21,6;0,0
2025-09-10;Sète;26,6;10,9
2025-09-11;Sète;23,9;0,0
2025-09-12;Sète;24,8;27,2
2025-09-13;Sète;20,6;0,0
2025-09-14;Sète;23,7;0,0
2025-09-15;Sète;27,9;0,0
2025-09-16;Sète;21,9;2,8
2025-09-17;Sète;19,9;0,0
2025-09-18;Sète;21,7;6,3
2025-09-19;Sète;19,0;0,0
2025-09-20;Sète;23,6;4,9
2025-09-21;Sète;16,6;0,0
2025-09-22;Sète;23,6;0,0
2025-09-23;Sète;18,5;10,3
2025-09-24;Sète;22,5;0,0
2025-09-25;Sète;20,9;0,0
2025-09-26;Sète;19,7;0,0
2025-09-27;Sète;25,9;0,0
2025-09-28;Sète;22,8;0,0
2025-09-29;Sète;21,6;0,0
2025-09-30;Sète;23,2;0,0
2025-10-01;Sète;16,8;0,0
2025-10-02;Sète;18,5;0,0
2025-10-03;Sète;18,6;0,0
2025-10-04;Sète;21,0;0,0
2025-10-05;Sète;17,5;0,0
2025-10-06;Sète;18,7;9,7
2025-10-07;Sète;22,8;0,0
2025-10-08;Sète;27,2;0,0
2025-10-09;Sète;18,6;0,0
2025-10-10;Sète;17,1;0,0
2025-10-11;Sète;19,1;0,0
2025-10-12;Sète;;0,0
2025-10-13;Sète;15,6;0,0
2025-10-14;Sète;16,0;0,0
2025-10-15;Sète;22,8;0,0
2025-10-16;Sète;20,5;0,0
2025-10-17;Sète;24,0;0,0
2025-10-18;Sète;11,8;0,0
2025-10-19;Sète;19,9;0,0
2025-10-20;Sète;17,7;5,0
2025-10-21;Sète;18,1;17,4
2025-10-22;Sète;18,3;17,2
2025-10-23;Sète;18,7;0,0
2025-10-24;Sète;11,6;0,0
2025-10-25;Sète;13,3;0,9
2025-10-26;Sète;14,4;0,0
2025-10-27;Sète;20,7;0,0
2025-10-28;Sète;16,6;0,0
2025-10-29;Sète;14,5;0,0
2025-10-30;Sète;12,3;0,0
2025-10-31;Sète;17,9;0,0
2025-11-01;Sète;12,0;2,7
2025-11-02;Sète;12,4;0,0
2025-11-03;Sète;16,7;0,0
2025-11-04;Sète;14,6;2,1
2025-11-05;Sète;17,2;0,0
2025-11-06;Sète;15,6;0,0
2025-11-07;Sète;19,2;1,7
2025-11-08;Sète;15,1;3,3
2025-11-09;Sète;14,1;0,0
2025-11-10;Sète;15,1;0,0
2025-11-11;Sète;8,5;0,0
2025-11-12;Sète;12,3;0,0
2025-11-13;Sète;13,7;0,0
2025-11-14;Sète;-999;0,0
2025-11-15;Sète;15,8;0,7
2025-11-16;Sète;9,1;0,0
2025-11-17;Sète;13,2;0,0
2025-11-18;Sète;7,7;10,3
2025-11-19;Sète;14,0;6,6
2025-11-20;Sète;14,3;0,0
2025-11-21;Sète;14,8;0,0
2025-11-22;Sète;9,2;24,8
2025-11-23;Sète;17,1;0,0
2025-11-24;Sète;8,2;0,0
2025-11-25;Sète;8,0;0,0
2025-11-26;Sète;12,0;0,0
2025-11-27;Sète;8,6;0,0
2025-11-28;Sète;9,5;0,0
2025-11-29;Sète;11,6;10,5
2025-11-30;Sète;5,4;0,0
2025-12-01;Sète;9,4;0,0
